Obj_name,right_ascension,declination,max_prob
Obj_2917,59.4174787440881,-51.1462866958477,0.84
Obj_1958,263.438484370172,66.505181788897,0.84
Obj_2387,265.359788101828,67.4985851951246,0.84
Obj_354,52.7255507736898,-28.0453595294143,0.84
Obj_2287,274.011638711928,67.6404951849324,0.84
Obj_251,52.542793590487,-26.9192336881293,0.84
Obj_2197,61.8599571355395,-48.5978632564985,0.84
Obj_2423,55.6439608662963,-48.6713911397723,0.84
Obj_2561,63.7752273788183,-46.7722256948917,0.84
Obj_2539,61.8275009417783,-45.6844450726402,0.84
Obj_871,53.2711382142686,-28.2766894759926,0.84
Obj_723,269.520943202386,67.8187608610489,0.84
Obj_697,63.4586222941969,-47.2380033895007,0.84
Obj_1035,57.6088849661143,-47.9515255559789,0.84
Obj_1163,52.0729240096391,-29.8098855000242,0.84
Obj_1399,271.757582664937,67.9411181370885,0.84
Obj_52,61.5324875363323,-47.1307907962756,0.84
Obj_624,65.3569911488619,-47.1295548411797,0.84
Obj_2037,66.7709983450406,-47.8626318330882,0.84
Obj_1977,56.8550536883839,-49.2616729326204,0.84
Obj_1761,272.987058924754,64.8194683764019,0.84
Obj_426,60.131613458474,-46.9712839204022,0.84
Obj_1565,265.737030064205,67.5459290586387,0.84
Obj_2051,269.356884980361,64.9769207119547,0.84
Obj_1734,53.4046106847219,-26.7163099721841,0.84
Obj_2897,53.6290736344597,-28.8757657791128,0.83
Obj_765,53.9958562219533,-29.3795629316943,0.83
Obj_786,263.602527224235,64.9855413818435,0.83
Obj_1438,52.519593439131,-29.1865390700688,0.83
Obj_1183,53.2220240588899,-26.4507645178181,0.83
Obj_1131,56.9891446844522,-48.8884360471709,0.83
Obj_1440,59.5505678747392,-49.7254213519453,0.83
Obj_1667,269.209441644202,63.784505222784,0.83
Obj_2672,53.5873802297455,-25.9984763365869,0.83
Obj_2039,272.156493091662,65.8043155704178,0.83
Obj_490,53.668890836798,-29.467847266108,0.83
Obj_1984,63.6745134372794,-45.6266878524817,0.83
Obj_2118,267.611341559952,66.3546167851735,0.83
Obj_2658,60.9836957083212,-49.4192744705937,0.83
Obj_43,272.312920367625,66.6031118604298,0.83
Obj_2568,271.125834093752,66.2524335736276,0.83
Obj_2393,53.4198143428436,-29.2746940104549,0.83
Obj_2944,264.549383241735,64.4946452610301,0.82
Obj_631,273.382909288334,64.8262323316969,0.82
Obj_911,53.4121514713117,-29.117006908018,0.82
Obj_2992,50.910597622352,-28.3566235311262,0.82
Obj_2904,274.012769408192,68.5342880441799,0.82
Obj_188,56.4864984780656,-50.4850774275094,0.82
Obj_2665,61.574546928111,-49.1976968098969,0.82
Obj_78,63.0361859732959,-47.0995332160406,0.82
Obj_2331,65.4192736025854,-46.4274246190745,0.82
Obj_462,60.4627871529605,-47.3273451014276,0.82
Obj_2507,54.2309548179913,-29.4075898645283,0.82
Obj_1058,267.522773034679,64.4787098863969,0.82
Obj_1500,61.5660550586999,-49.9007161444299,0.82
Obj_2034,266.636329062671,66.7410920735452,0.82
Obj_1953,61.9724793145919,-48.7780540347152,0.82
Obj_1788,52.7365094675732,-28.5540902728516,0.82
Obj_1073,63.0836056690101,-47.7851663213165,0.82
Obj_1345,274.128439317813,65.4683011545546,0.82
Obj_1339,51.2845252592737,-28.2644827020912,0.82
Obj_3128,270.833652920708,64.8816380872572,0.81
Obj_129,52.6804390705317,-29.7607529657025,0.81
Obj_2749,264.700875511361,64.9685289621157,0.81
Obj_227,51.723813807438,-28.3608294227183,0.81
Obj_2510,271.9253091682,65.3094334695863,0.81
Obj_1817,59.0539957856186,-49.7037065464508,0.81
Obj_2086,62.0893919915859,-46.2189147596817,0.81
Obj_2528,61.5463192519944,-49.6332536900921,0.81
Obj_2268,52.3984053654831,-29.4423006753714,0.81
Obj_1048,58.4339355077023,-48.6238760526374,0.81
Obj_927,63.7283527996521,-47.9472685493837,0.81
Obj_69,64.0094779633494,-48.6205814449315,0.81
Obj_38,52.0844823654377,-27.7185219852932,0.81
Obj_641,272.511935742843,67.1915441201911,0.8
Obj_652,271.48069121671,68.4643939521518,0.8
Obj_2812,269.930947584899,66.2205986285255,0.8
Obj_2470,55.751392220302,-49.5593287976326,0.8
Obj_794,63.6092601976664,-49.3383052581656,0.8
Obj_1914,54.5808600164041,-28.0212703404606,0.8
Obj_591,276.519657792215,66.3439109570048,0.8
Obj_1347,52.9544863344037,-28.9916009518384,0.8
Obj_1387,54.469389944809,-27.214854809973,0.8
Obj_1795,62.9678060146763,-46.2725652306152,0.8
Obj_2919,64.2141907382347,-47.7825560362211,0.8
Obj_1661,53.9251880638997,-28.6651974323417,0.8
Obj_1457,52.3227416970948,-29.2590702518345,0.8
Obj_925,57.3956221164106,-48.4585519608659,0.8
Obj_855,270.655288135197,63.5555277491906,0.8
Obj_2258,264.987517430156,66.5629111446898,0.8
Obj_2151,58.7350836953162,-47.9102174818479,0.8
Obj_648,52.2065158726971,-27.1855598608936,0.79
Obj_2440,264.63430927273,66.0587291680833,0.79
Obj_196,267.486804399645,64.4721396666926,0.79
Obj_2822,58.7905147082449,-48.2861260374541,0.79
Obj_1192,59.5110512129415,-48.7412088943761,0.79
Obj_2214,271.020207567458,65.9019016380919,0.79
Obj_1130,56.7649901441579,-49.6549435893492,0.79
Obj_2052,57.2174921014442,-48.5408035898944,0.79
Obj_55,275.298812943167,67.5602733951504,0.79
Obj_1466,52.4424139198262,-28.4532156577651,0.79
Obj_1275,54.0202711061086,-27.8217464025454,0.79
Obj_1669,269.977410429064,67.5348820845477,0.79
Obj_834,273.504313132513,66.6311001684391,0.79
Obj_3157,265.785820990697,67.1660532668839,0.78
Obj_2142,65.4870503592761,-46.9410763491228,0.78
Obj_2250,61.3490435401148,-47.2467715743493,0.78
Obj_2374,267.607157316435,63.7160497963314,0.78
Obj_2422,59.1392593544579,-50.0529342174869,0.78
Obj_2228,63.6387435026143,-46.3414857056421,0.78
Obj_1256,268.87613888387,66.5484982800111,0.78
Obj_1331,64.9280400346568,-46.6932920989071,0.78
Obj_422,267.138400739326,67.3360641808025,0.78
Obj_1654,62.1843015969523,-49.3543357586989,0.78
Obj_1762,265.57177917995,66.2725165747248,0.78
Obj_1548,270.742952673498,66.5801130601696,0.78
Obj_76,66.373733206866,-47.9028638756374,0.78
Obj_1530,65.272799372,-47.8589747133623,0.78
Obj_74,62.2355175871843,-49.7904454206665,0.78
Obj_2252,55.3600296550956,-49.4235025969092,0.78
Obj_2523,59.9282787203081,-50.9188769171119,0.78
Obj_1528,63.8355273596378,-46.4392048455398,0.77
Obj_3135,59.8950896643008,-46.9625446295912,0.77
Obj_1074,60.9479450260501,-47.3723048206634,0.77
Obj_1196,57.4690615740413,-51.1050717416931,0.77
Obj_680,54.478230377858,-28.5179351438293,0.77
Obj_1702,270.401576652592,66.329632540012,0.77
Obj_335,61.3606913454433,-47.2530457915768,0.77
Obj_481,266.347636996848,65.8385715487888,0.77
Obj_2535,55.7093225700971,-48.4307403641018,0.77
