Obj_name,PGC,EGIPS,RAJ2000,DEJ2000,Coord,max_prob
Obj_8057,37467,EGIPS J115546.6+295629,178.9442364,29.9414512,J115546.62+295629.2,0.54
Obj_9500,46819,EGIPS J132356.8+305917,200.9868489,30.9880689,J132356.84+305917.0,0.54
Obj_9351,1354269,EGIPS J131357.9+084908,198.4914821,8.8190648,J131357.96+084908.6,0.54
Obj_13539,2236368,EGIPS J184255.8+440525,280.7328689,44.0905197,J184255.89+440525.9,0.54
Obj_9680,780799,EGIPS J133517.1-251621,203.8213816,-25.2727555,J133517.13-251621.9,0.54
Obj_8820,       ,EGIPS J124249.4+720717,190.7059692,72.1216401,J124249.43+720717.9,0.54
Obj_14822,1020436,EGIPS J215142.3-072104,327.9263991,-7.3512404,J215142.34-072104.5,0.54
Obj_2961,3677754,EGIPS J042216.1+093414,65.5671594,9.570748,J042216.12+093414.7,0.54
Obj_8741,169642,EGIPS J123736.9+124246,189.4040832,12.7129947,J123736.98+124246.8,0.54
Obj_13965,2577718,EGIPS J195820.4+582124,299.5851599,58.3568979,J195820.44+582124.8,0.54
Obj_8319,1090829,EGIPS J121146.9-022850,182.9456113,-2.4806254,J121146.95-022850.3,0.54
Obj_9651,3809918,EGIPS J133342.8-075917,203.4286985,-7.9880791,J133342.89-075917.1,0.54
Obj_10821,1225633,EGIPS J145220.1+022352,223.0841224,2.3978612,J145220.19+022352.3,0.54
Obj_7559,92318,EGIPS J112417.7-195436,171.0739,-19.9100158,J112417.74-195436.1,0.54
Obj_5447,2094071,EGIPS J090726.0+370915,136.8585156,37.1544077,J090726.04+370915.9,0.54
Obj_13577,2319165,EGIPS J185022.2+483048,282.5925481,48.5134972,J185022.21+483048.6,0.54
Obj_12817,60049,EGIPS J171854.6+295122,259.7278802,29.8562573,J171854.69+295122.5,0.54
Obj_2580,92023,EGIPS J032641.6-180857,51.6737134,-18.1494165,J032641.69-180857.9,0.54
Obj_11768,3496042,EGIPS J160418.9+424724,241.0789604,42.7901418,J160418.95+424724.5,0.54
Obj_171,91862,EGIPS J001315.1-264819,3.3131077,-26.8053737,J001315.15-264819.3,0.54
Obj_7433,4000651,EGIPS J111804.8+625452,169.5201332,62.9146387,J111804.83+625452.7,0.54
Obj_11057,1272035,EGIPS J150932.7+044218,227.3865195,4.705148,J150932.76+044218.5,0.54
Obj_2002,1370919,EGIPS J023518.7+095101,38.8279312,9.8505089,J023518.70+095101.8,0.53
Obj_9244,4355615,EGIPS J130712.6+160657,196.8027785,16.1158666,J130712.67+160657.1,0.53
Obj_6748,155555,EGIPS J103910.7-103347,159.7949526,-10.5632204,J103910.79-103347.6,0.53
Obj_15001,       ,EGIPS J220706.0+370112,331.7752175,37.0202529,J220706.05+370112.9,0.53
Obj_12223,91537,EGIPS J163106.8+392548,247.7785694,39.4300339,J163106.86+392548.1,0.53
Obj_13062,60798,EGIPS J174501.8+663115,266.2576925,66.5210114,J174501.85+663115.6,0.53
Obj_8937,865957,EGIPS J125004.8-183655,192.5200721,-18.6153566,J125004.82-183655.3,0.53
Obj_10385,2261274,EGIPS J142318.0+451335,215.8253025,45.2266149,J142318.07+451335.8,0.53
Obj_13498,2811460,EGIPS J183555.5+225444,278.9815916,22.9124136,J183555.58+225444.7,0.53
Obj_16396,       ,EGIPS J235653.1+094410,359.2214486,9.7361286,J235653.15+094410.1,0.53
Obj_10325,3823622,EGIPS J141745.4+590408,214.4393493,59.0689215,J141745.44+590408.1,0.53
Obj_7926,2016390,EGIPS J114703.2+325341,176.7636845,32.8949913,J114703.28+325342.0,0.53
Obj_10951,1399938,EGIPS J150219.9+115143,225.5829243,11.8621426,J150219.90+115143.7,0.53
Obj_12389,2484250,EGIPS J164330.3+545434,250.8765566,54.909475,J164330.37+545434.1,0.53
Obj_6615,1082123,EGIPS J103003.4-024910,157.5143775,-2.8196218,J103003.45-024910.6,0.53
Obj_1382,2160213,EGIPS J014449.9+400439,26.2079647,40.0777103,J014449.91+400439.8,0.53
Obj_7212,4565063,EGIPS J110637.6+233248,166.6568148,23.5468251,J110637.64+233248.6,0.53
Obj_8872,1268285,EGIPS J124608.2+042636,191.5344745,4.4435016,J124608.27+042636.6,0.53
Obj_13809,91659,EGIPS J193424.1+491956,293.6004359,49.3323776,J193424.10+491956.6,0.53
Obj_5786,       ,EGIPS J093252.4+041529,143.2185282,4.2582241,J093252.45+041529.6,0.53
Obj_1934,2192788,EGIPS J022945.8+420719,37.4411091,42.1219943,J022945.87+420719.2,0.53
Obj_9585,91292,EGIPS J132859.7+790310,202.2489771,79.0529019,J132859.75+790310.4,0.53
Obj_15163,       ,EGIPS J221913.6-161939,334.8069604,-16.3275358,J221913.67-161939.1,0.53
Obj_1798,1912011,EGIPS J021839.6+303845,34.6652614,30.6459585,J021839.66+303845.5,0.53
Obj_15582,1986198,EGIPS J225419.9+321255,343.5833254,32.2153041,J225420.00+321255.1,0.53
Obj_2811,902999,EGIPS J035427.5-160332,58.6146016,-16.0591562,J035427.50-160333.0,0.53
Obj_13748,       ,EGIPS J192313.8+421308,290.8077105,42.2190751,J192313.85+421308.7,0.53
Obj_566,90493,EGIPS J004130.3+105324,10.3766036,10.8900663,J004130.38+105324.2,0.53
Obj_15828,1448293,EGIPS J231330.3+140349,348.3765359,14.0637887,J231330.37+140349.6,0.53
Obj_14134,1671984,EGIPS J202957.8+223253,307.4912372,22.5481857,J202957.90+223253.5,0.53
Obj_15093,68345,EGIPS J221402.9-265615,333.5123814,-26.9376542,J221402.97-265615.6,0.53
Obj_13919,4667467,EGIPS J195012.3+041120,297.5514639,4.1889247,J195012.35+041120.1,0.53
Obj_13003,1224373,EGIPS J173747.9+022129,264.4498436,2.3582641,J173747.96+022129.8,0.52
Obj_11973,1315226,EGIPS J161503.3+070947,243.7640405,7.1632876,J161503.37+070947.8,0.52
Obj_10580,91370,EGIPS J143549.0+120841,218.9545292,12.1447897,J143549.09+120841.2,0.52
Obj_9847,48891,EGIPS J134722.6-303721,206.844443,-30.6226517,J134722.67-303721.5,0.52
Obj_11408,91464,EGIPS J153903.2+402713,234.7636119,40.4537842,J153903.27+402713.6,0.52
Obj_15051,91731,EGIPS J221058.7+224630,332.7446264,22.7751492,J221058.71+224630.5,0.52
Obj_5442,2128837,EGIPS J090702.9+383006,136.7623583,38.5016735,J090702.97+383006.0,0.52
Obj_3483,17561,EGIPS J053936.8+771844,84.9035476,77.3123558,J053936.85+771844.5,0.52
Obj_2007,2121168,EGIPS J023543.3+381320,38.9306091,38.2224785,J023543.35+381320.9,0.52
Obj_13400,2040575,EGIPS J182132.0+335329,275.3835173,33.8916581,J182132.04+335330.0,0.52
Obj_945,1867557,EGIPS J010859.3+292839,17.247423,29.4777685,J010859.38+292840.0,0.52
Obj_13482,2392289,EGIPS J183352.2+511946,278.4677218,51.3295207,J183352.25+511946.3,0.52
Obj_13144,61005,EGIPS J175142.9+372319,267.9289416,37.3886316,J175142.95+372319.1,0.52
Obj_8675,803138,EGIPS J123307.2-231413,188.2803913,-23.2370909,J123307.29-231413.5,0.52
Obj_5622,26407,EGIPS J092013.2+084734,140.0552919,8.7930344,J092013.27+084734.9,0.52
Obj_1417,6560,EGIPS J014716.1+353348,26.8174018,35.5633725,J014716.18+353348.1,0.52
Obj_2046,1233576,EGIPS J023923.6+023906,39.8487093,2.6517072,J023923.69+023906.1,0.52
Obj_16224,2355982,EGIPS J234458.6+495214,356.2441967,49.8707477,J234458.61+495214.7,0.52
Obj_3455,92146,EGIPS J053308.4-263023,83.2852781,-26.5066616,J053308.47-263024.0,0.52
Obj_14921,868436,EGIPS J220026.8-182452,330.1120325,-18.4146861,J220026.89-182452.9,0.52
Obj_6559,1060694,EGIPS J102606.2-041532,156.5261361,-4.2591436,J102606.27-041532.9,0.52
Obj_2362,11594,EGIPS J030508.4-130017,46.2851624,-13.0049832,J030508.44-130017.9,0.52
