Obj_name,right_ascension,declination,max_prob
Obj_1831,262.395800752811,65.9683946235078,0.99
Obj_97,271.623108898897,66.911765051774,0.99
Obj_3121,53.6006045324706,-28.8619665648815,0.99
Obj_2072,275.517494496468,64.9240335040077,0.99
Obj_1706,271.700665935523,68.4302609036484,0.99
Obj_1666,52.334650178328,-30.2924571373263,0.99
Obj_3067,50.9760452458612,-27.6129397431197,0.99
Obj_2134,272.171793943251,67.2438083837526,0.99
Obj_232,52.1851479609692,-29.5594775932866,0.99
Obj_3054,267.390111967372,68.2577099364787,0.99
Obj_2948,275.456901253949,67.2283211190226,0.99
Obj_2302,56.9665416048182,-49.901895054747,0.99
Obj_377,62.8363436339996,-47.8982682164943,0.99
Obj_1602,270.728404988136,63.436599479444,0.99
Obj_2236,50.6778644268171,-27.8236198614769,0.99
Obj_2267,60.0549512583021,-47.5245373711161,0.99
Obj_2933,65.6687871493612,-46.7234880433855,0.99
Obj_436,54.3044097035455,-29.239165123396,0.99
Obj_494,63.6629689711081,-48.0707285365233,0.99
Obj_675,273.626372862364,67.6434497006278,0.99
Obj_657,60.4850399311164,-46.7600891857733,0.99
Obj_2883,268.328685692982,64.4164375051191,0.99
Obj_2529,64.1566107256848,-47.4180670214782,0.99
Obj_2739,59.3479360032539,-47.3246317124503,0.99
Obj_2645,58.0154869720029,-50.0861168402327,0.99
Obj_967,52.1196965184681,-29.6813001920205,0.99
Obj_60,64.7069223713963,-48.3785794777166,0.99
Obj_2019,61.017276479338,-46.3322851464547,0.98
Obj_1765,51.4162675705233,-29.4362059470336,0.98
Obj_1743,59.5047454385304,-48.2773147741456,0.98
Obj_1713,53.629615909869,-28.2596690068273,0.98
Obj_138,268.736967689173,66.8053089817847,0.98
Obj_3096,61.9136704270635,-48.1620923588497,0.98
Obj_3123,58.0732849086254,-48.6218784997565,0.98
Obj_202,52.3096935919582,-27.663303612756,0.98
Obj_1692,56.2786627672491,-49.6551390501617,0.98
Obj_1740,266.058951653884,65.8550499195529,0.98
Obj_1736,54.8843351395235,-28.545676465937,0.98
Obj_2112,58.7167579467044,-51.2360464722075,0.98
Obj_2122,55.0552288314166,-29.1335488044731,0.98
Obj_3056,265.65106462623,63.6870050891768,0.98
Obj_238,52.3288178115842,-26.8706530983182,0.98
Obj_249,62.3652354654838,-49.8447650458606,0.98
Obj_2091,55.2712322289959,-28.4506057254366,0.98
Obj_2096,267.339801907857,64.0516372536183,0.98
Obj_1691,269.052688038449,64.6819274792382,0.98
Obj_281,58.5970085455067,-48.3009848997341,0.98
Obj_269,63.775994650359,-49.3347818909259,0.98
Obj_256,60.8243746770183,-49.045295240478,0.98
Obj_3064,52.7290108100956,-30.2519301553574,0.98
Obj_3084,59.4892540060235,-49.0261821574243,0.98
Obj_3085,52.771429532553,-29.3958102991037,0.98
Obj_3070,51.8103770232062,-28.9604398519794,0.98
Obj_1785,55.955225468782,-49.3289340446869,0.98
Obj_70,65.2386740421787,-47.9574019429777,0.98
Obj_3149,62.7617992489762,-48.6724689548436,0.98
Obj_3148,60.1054687848887,-48.6957407034465,0.98
Obj_3133,65.3605571863029,-47.6217467010778,0.98
Obj_1955,53.5772911946153,-28.1405202745673,0.98
Obj_1968,57.5051571968678,-48.7496562017972,0.98
Obj_1990,64.5489475579634,-46.6068392335014,0.98
Obj_18,269.857722684526,65.8462751332676,0.98
Obj_2167,61.5226676664429,-48.6993245270782,0.98
Obj_3044,274.871921131985,66.4522040036059,0.98
Obj_3031,64.5196329834196,-47.0275796293584,0.98
Obj_3035,267.8212172612,66.1503397550682,0.98
Obj_325,63.4443817458123,-47.9072676972471,0.98
Obj_321,275.438435396974,65.8138027129085,0.98
Obj_3029,269.254238865305,64.4256470879106,0.98
Obj_320,54.6527055561276,-27.1636509249911,0.98
Obj_3077,53.4172875212597,-27.1176794893788,0.98
Obj_2990,59.3419904620919,-48.4292932055029,0.98
Obj_1624,270.195832194489,64.6165261658273,0.98
Obj_1609,61.2913179956242,-46.544518738286,0.98
Obj_2173,55.926474637453,-49.5655181226675,0.98
Obj_2181,51.9786173268798,-28.6809070950977,0.98
Obj_2183,270.801682313365,64.8193714924551,0.98
Obj_1625,266.504507093793,64.8281496039986,0.98
Obj_1553,52.2654469094087,-29.056735116807,0.98
Obj_1568,53.8664164622992,-28.0572446539234,0.98
Obj_1591,59.2588476214803,-46.8710259088798,0.98
Obj_1592,63.8747832050887,-46.8683522143116,0.98
Obj_1506,264.671748373946,66.3505600279557,0.98
Obj_1510,52.2777010446583,-26.3339590568944,0.98
Obj_390,267.905409907836,67.0455952523979,0.98
Obj_400,53.2132648595914,-29.310643105716,0.98
Obj_2968,62.4896592306189,-45.9462640086372,0.98
Obj_363,62.0409006282654,-46.6380706612372,0.98
Obj_367,57.3055053497136,-48.5686165709197,0.98
Obj_2997,65.5282923700241,-46.4851725054881,0.98
Obj_3002,52.9979463491451,-29.2176270091096,0.98
Obj_3006,275.619902932533,65.3972541723174,0.98
Obj_3022,63.6158567620882,-46.1099179119478,0.98
Obj_3024,274.394425280219,66.4563771538016,0.98
Obj_2225,55.9672358116485,-49.1807840235803,0.98
Obj_1522,267.363556990407,67.2004767238238,0.98
Obj_1520,60.351304898872,-46.9507275671275,0.98
Obj_1516,57.7029731406222,-47.9120735866444,0.98
Obj_1511,266.756727416318,66.9279063231295,0.98
Obj_2981,269.299513008691,67.014704893711,0.98
Obj_2979,51.3386347856846,-28.9942514619071,0.98
Obj_2282,60.1471183947938,-47.2402032538065,0.98
Obj_1444,56.6742929518929,-48.890592835709,0.98
Obj_1485,51.9760938923701,-26.979609473715,0.98
Obj_441,276.186050831864,66.3929154991495,0.98
Obj_435,52.4662561426242,-30.2715154428236,0.98
Obj_2942,60.1132267433087,-47.7728793568731,0.98
Obj_2946,270.181523987114,64.7354007784254,0.98
Obj_2271,63.2189552927754,-46.1760560008122,0.98
Obj_2270,63.2326661377963,-48.2480845475963,0.98
Obj_2958,56.5630131941621,-49.5111312237245,0.98
Obj_2954,271.134411327533,66.4754583065028,0.98
Obj_2312,273.094215597031,68.735727891176,0.98
Obj_2298,54.3266115717766,-28.605813223965,0.98
Obj_2315,268.642123813723,66.1169614965473,0.98
Obj_1372,270.706871527648,65.8467858229814,0.98
Obj_2901,66.7541630399889,-46.8039406441026,0.98
Obj_2313,55.5564335122243,-48.6579667030835,0.98
Obj_194,53.6253015808398,-26.8586979130976,0.98
Obj_184,275.949066799589,65.1027812233722,0.98
Obj_182,64.5357320154969,-46.8696790271055,0.98
Obj_162,265.469660454746,66.8525351678976,0.98
Obj_1902,51.7929005918202,-28.678606763563,0.98
Obj_1905,269.495228651906,67.763223959784,0.98
Obj_1812,272.281087847199,66.3502001733448,0.98
Obj_1870,58.1692394294143,-48.8457126046333,0.98
Obj_2332,52.2449511106034,-28.6052817438719,0.98
Obj_1404,51.6759490332072,-26.8630720235514,0.98
Obj_1400,60.068073670298,-50.8209736988333,0.98
Obj_1394,65.7154429487628,-48.1014996606614,0.98
Obj_1388,52.0792939216633,-26.743843111014,0.98
Obj_2920,51.4837013095469,-29.621561176597,0.98
Obj_487,64.6250966784235,-47.7447555926617,0.98
Obj_485,59.1826873677542,-48.2571749544765,0.98
Obj_2867,59.9944529866666,-47.8516879998187,0.98
Obj_500,60.0632380932609,-49.062090892597,0.98
Obj_504,64.9501936695478,-46.9478386688095,0.98
Obj_2342,265.92880161358,66.6961398924859,0.98
Obj_1318,270.252451562272,67.592311847149,0.98
Obj_1319,59.1869121523759,-47.4481412037631,0.98
Obj_2348,264.982310174139,67.2739390592537,0.98
Obj_2343,61.3433523601027,-46.6918973469418,0.98
Obj_2391,59.5551838327951,-47.438169616497,0.98
Obj_2399,264.707842068315,64.7957054173695,0.98
