Obj_name,right_ascension,declination,max_prob
Obj_2338,272.63373940811,65.6386824011045,0.84
Obj_2546,51.9535453021593,-28.8317237319394,0.84
Obj_2995,273.018261043715,64.2761557839378,0.84
Obj_2160,58.9316199411177,-47.194606070336,0.84
Obj_3042,53.3784143504488,-29.7139522290963,0.84
Obj_445,63.6529161126961,-47.3683326251151,0.84
Obj_528,63.680313489727,-47.1659830888608,0.84
Obj_2565,63.9306885520629,-48.1125408341369,0.84
Obj_2977,52.7742381153643,-26.547050523798,0.84
Obj_660,65.0848374150701,-47.2026763764107,0.84
Obj_1560,64.5349760461975,-46.6797786184769,0.84
Obj_3109,57.6729071294278,-48.7240131474796,0.84
Obj_2757,270.950724163412,65.0095819949275,0.84
Obj_2737,268.322188987217,68.2078734463974,0.84
Obj_937,267.442604092808,64.546008560096,0.84
Obj_1799,60.1754575046313,-48.3244925594796,0.84
Obj_2784,59.1770284016284,-46.8396152488701,0.84
Obj_1753,61.5706207067842,-48.242254970403,0.84
Obj_1862,271.569000457165,68.2773196623149,0.84
Obj_2873,266.69325567221,66.6321052201397,0.84
Obj_56,60.0815872536066,-50.7966805329705,0.84
Obj_1596,266.372638434808,66.1636696426459,0.84
Obj_1292,65.8826295279193,-47.4294796218043,0.84
Obj_1574,58.3706244973075,-51.0802954758403,0.84
Obj_1425,267.96330442152,63.9435899767252,0.84
Obj_1369,54.1584814514752,-26.6625855681027,0.84
Obj_2027,54.5978671169969,-28.8938658606258,0.84
Obj_1963,61.6931101931139,-47.1287257617439,0.84
Obj_2584,62.1746084801118,-48.7146748056392,0.83
Obj_2902,273.828517289281,65.8711850852069,0.83
Obj_2232,58.8109002008195,-49.6103076988161,0.83
Obj_2545,61.0388939742305,-47.2601254040119,0.83
Obj_2457,66.3402895078666,-47.4386529381363,0.83
Obj_692,58.8479630647909,-49.3545560586487,0.83
Obj_2373,52.8707631247753,-27.1615165263499,0.83
Obj_117,266.320001425089,65.9357460976187,0.83
Obj_2934,63.3927948607284,-46.0863607137828,0.83
Obj_2547,62.5837289255348,-47.7129045290551,0.83
Obj_1707,57.8585543505429,-51.146839048498,0.83
Obj_2884,60.347458603579,-47.9030921998797,0.83
Obj_1879,62.521243000111,-49.7562482957526,0.83
Obj_1053,57.0578406081094,-49.8119167071815,0.83
Obj_1803,52.6805905519468,-27.3085372585953,0.83
Obj_1813,58.7705380963969,-49.835070228124,0.83
Obj_1276,51.5630376219616,-26.7708389562428,0.83
Obj_1414,64.368011147062,-45.9695591926588,0.83
Obj_1509,66.2399384103159,-47.6414892883868,0.83
Obj_3090,50.9490334388593,-28.4212068154509,0.83
Obj_1353,273.708468829401,67.9950703215665,0.83
Obj_3118,52.9430125057642,-27.2955898039226,0.83
Obj_1549,269.96529517623,68.3694319551771,0.83
Obj_1379,62.7181105408069,-49.2506213127402,0.83
Obj_3201,65.928544463175,-46.9114484984556,0.83
Obj_2964,52.7119843818416,-28.4020306077262,0.83
Obj_2157,54.6501434735319,-27.7658610160839,0.83
Obj_3036,61.7567911412191,-50.226478306067,0.83
Obj_716,58.4601501568761,-49.9905923703771,0.83
Obj_3195,268.880528571297,64.6467016346414,0.83
Obj_1583,61.1131985229499,-49.4632877597661,0.82
Obj_1610,53.405781393014,-29.2650971406151,0.82
Obj_3182,54.3471603984932,-29.5965180165748,0.82
Obj_1915,262.338543644433,65.6492296912619,0.82
Obj_921,263.490281125729,65.3983624727673,0.82
Obj_1825,61.7357463800573,-46.8472339732881,0.82
Obj_1650,268.759330188442,64.4814183796753,0.82
Obj_2788,56.3025636068472,-50.7138138766727,0.82
Obj_935,58.8955389578639,-51.1378007428261,0.82
Obj_1623,267.216901771792,64.8541819959721,0.82
Obj_1859,62.9143160024877,-45.7429467473172,0.82
Obj_2863,271.463998267994,67.9471434900295,0.82
Obj_463,65.5741493396375,-46.5785639685163,0.82
Obj_569,61.4017561536132,-46.7366924696225,0.82
Obj_3028,269.067543802639,68.2214465106496,0.82
Obj_1487,268.353405191003,64.4880658351601,0.82
Obj_2449,264.800730024439,67.4075642694258,0.82
Obj_2288,64.6604791934329,-46.4461505915418,0.82
Obj_2398,266.146309277828,63.5889695484499,0.82
Obj_2345,269.642225994957,65.577300611339,0.82
Obj_2128,61.3546832326431,-49.9011516529093,0.82
Obj_2106,62.5850617638221,-49.8977464254587,0.82
Obj_2947,271.295746334909,67.6594401114439,0.82
Obj_729,51.6551027596364,-29.0294200124892,0.82
Obj_498,263.048732885622,65.9025321544951,0.82
Obj_2553,275.761740971361,65.629714502237,0.82
Obj_2294,62.4816966895279,-50.3009236687563,0.82
Obj_2453,268.828114782759,65.1240005278064,0.82
Obj_3180,272.559990223217,64.1997396904189,0.81
Obj_3074,60.8435602469486,-46.6617752809247,0.81
Obj_3069,58.4052976994801,-51.1989700060842,0.81
Obj_2485,272.266502675071,68.2087359494605,0.81
Obj_2359,57.0480286174954,-49.6938918875999,0.81
Obj_2488,62.6278449113906,-49.4140427869814,0.81
Obj_2415,60.4290615059585,-47.5928439782911,0.81
Obj_2472,51.4971023549807,-28.8091617828252,0.81
Obj_2155,271.763783128208,66.911701371139,0.81
Obj_2970,51.4772707161164,-29.1398966381657,0.81
Obj_670,61.705659882137,-48.9442230481778,0.81
Obj_2798,265.793308188873,66.4141434760643,0.81
Obj_2810,274.496804276646,66.5943353852954,0.81
Obj_2826,54.5603370777262,-27.855887108701,0.81
Obj_1745,64.0562430545927,-47.5542063774968,0.81
Obj_2742,267.77017009962,64.6328390408818,0.81
Obj_3079,57.3087755228965,-49.6154046409238,0.81
Obj_1772,268.793408826271,68.3714591971358,0.81
Obj_2795,57.3056617290992,-49.8534212823588,0.81
Obj_2666,66.1648118833976,-46.7251201614998,0.81
Obj_957,268.086198267919,65.5258873669032,0.81
Obj_1622,54.8043148279479,-28.06264758074,0.8
Obj_1484,59.4732910777065,-50.0072184253739,0.8
Obj_3150,59.7643164396765,-47.6298217655325,0.8
Obj_3114,61.4498249036857,-50.6300124739573,0.8
Obj_3113,52.9251088944437,-26.7361023940853,0.8
Obj_1142,50.6623905201137,-27.6700847563152,0.8
Obj_880,271.960520760195,65.8896463041506,0.8
Obj_2628,270.021772330826,68.1406830343115,0.8
Obj_111,53.0132997026316,-29.4858313529244,0.8
Obj_351,61.1909136172888,-47.7690767754092,0.8
Obj_2378,267.551250804587,65.5064379092551,0.8
Obj_521,62.1881519901169,-45.7205130162092,0.8
Obj_2102,263.823303480746,66.3021294165842,0.8
Obj_550,57.6976321688228,-50.4834527440547,0.8
Obj_705,63.5587321714225,-45.8375439091248,0.8
Obj_2104,54.4780405028186,-26.9005981095197,0.8
Obj_1607,61.1890255225592,-47.3321010683682,0.8
Obj_1246,64.7483914016625,-46.2216534592884,0.8
Obj_3132,272.774662042995,67.9119272770848,0.8
Obj_1138,62.2494400049126,-48.7269989287665,0.8
Obj_1283,270.241101847795,67.8230878132535,0.8
Obj_1258,64.6441980836352,-46.7707869320327,0.8
Obj_2661,53.0757113789526,-27.9751924567691,0.8
Obj_1720,63.4666850863,-45.7102908077585,0.8
Obj_1083,53.0337066317651,-29.9893571188212,0.79
Obj_3078,264.639539067087,64.9514859348447,0.79
Obj_1312,269.049936222368,64.0251592510005,0.79
Obj_2713,52.8582377351722,-30.0985671712162,0.79
Obj_1235,269.197035871466,67.6448914586544,0.79
Obj_3198,58.8654597873778,-51.274696456379,0.79
Obj_2999,266.061833376717,67.1278960460065,0.79
Obj_2607,54.6975907798214,-27.5441056955323,0.79
Obj_1673,66.8660525626071,-47.4522095402917,0.79
Obj_213,270.128128556345,65.7538898037412,0.79
Obj_1889,64.5768641599736,-47.6638653485277,0.79
Obj_312,270.128128556345,65.7538898037412,0.79
Obj_2571,64.9860388579068,-47.520718222531,0.78
Obj_2334,267.540294807681,65.6229934344773,0.78
Obj_2424,65.4131602164861,-48.0057089485082,0.78
Obj_257,57.7549018172862,-47.8618830642825,0.78
Obj_602,61.7523462686075,-46.1450190909456,0.78
Obj_2301,272.712979030615,66.0183274465859,0.78
Obj_3041,56.9553818191666,-50.7397310539926,0.78
Obj_2700,270.639266489393,66.3611685504563,0.78
Obj_738,64.1033019858591,-46.0474340942653,0.78
Obj_1674,51.2892649747589,-28.6460039072701,0.78
Obj_1395,59.8207710186666,-48.2268224511138,0.78
Obj_1999,52.6747455641775,-29.7511051067614,0.78
Obj_1593,51.5417290585486,-29.6177491759399,0.78
Obj_1694,56.3402030011273,-48.8728663699706,0.78
Obj_25,55.1261705417683,-28.1958580150753,0.77
Obj_1349,276.144508474833,65.4869995991525,0.77
Obj_2566,66.4021747118466,-46.7336348212439,0.77
Obj_583,58.8677355757052,-48.3845013799046,0.77
Obj_734,268.754613023697,63.337972888868,0.77
Obj_823,63.1603113000898,-45.8045800881339,0.77
Obj_2224,268.677004333853,68.6556500990461,0.77
Obj_2314,271.310935202877,64.5256298098294,0.77
Obj_2587,271.10967761226,67.5706796699875,0.77
Obj_2745,53.363038763256,-26.4088260132006,0.77
Obj_2888,59.5802958006845,-48.7025652468691,0.77
Obj_1711,58.5117829953029,-49.4888217077542,0.77
Obj_1648,62.1965148849838,-46.8215448971807,0.77
Obj_1557,59.9983810951814,-50.2720230784327,0.77
Obj_1332,54.3961546553675,-27.1640605621838,0.77
Obj_958,63.7326750179476,-49.5334693825272,0.76
Obj_2230,57.0015269120885,-48.8973590343505,0.76
Obj_510,265.907854995337,66.8917233782315,0.76
Obj_2653,63.3184530160431,-48.3425997593944,0.76
Obj_3154,52.9017804976366,-27.4072758391546,0.76
Obj_205,267.961191480776,64.6989679771925,0.76
Obj_2573,51.6831957096447,-29.1858932150756,0.76
Obj_2174,64.4012483993808,-49.0971686987781,0.76
Obj_1981,267.5110339549,63.8622120668264,0.76
Obj_3188,266.26657187331,65.6105383365197,0.75
Obj_1964,61.2820874029749,-46.4678811479552,0.75
Obj_1657,268.478034546871,63.4649652577411,0.75
Obj_2297,53.7312628555402,-26.5254502865519,0.75
Obj_515,269.002540928646,63.8366692512754,0.75
Obj_2179,58.4872016363598,-49.4378149303952,0.75
Obj_1352,274.6221617223,65.9806228671707,0.75
Obj_1148,272.364415981047,65.3011322194794,0.75
Obj_2681,63.743576479081,-45.9352492606749,0.75
Obj_1818,64.4000730970667,-48.2896231842472,0.75
Obj_1030,64.0780805268265,-46.6879348157025,0.75
Obj_1997,56.8632837780721,-50.3278384912057,0.75
Obj_1888,58.0773919689187,-49.4644192684307,0.75
Obj_19,52.1326681923234,-29.7068820361557,0.74
Obj_2484,53.5585097591536,-26.5091082713266,0.74
Obj_2153,53.8149726908431,-29.5102570724474,0.74
Obj_2148,51.9588398411783,-27.413563571318,0.74
Obj_1521,64.1497744136367,-46.3240666390702,0.74
Obj_1198,61.1673309241648,-46.3493142737464,0.74
Obj_1027,53.0231762911756,-27.3578278741698,0.74
Obj_865,269.573984231628,67.1763215958964,0.74
Obj_682,66.508089026209,-47.4823518013085,0.74
Obj_1940,52.1135641045835,-28.5501205088811,0.74
Obj_992,56.1321748873686,-49.8661055909542,0.74
Obj_914,275.732232300232,66.4748104606698,0.74
Obj_2401,263.278566329676,66.189538519536,0.74
Obj_688,62.2963867561298,-48.288389994672,0.74
Obj_273,273.625791267111,68.8509011203709,0.74
Obj_301,64.3623934456108,-49.3517272767356,0.73
Obj_2308,53.7454371953988,-27.7049299948701,0.73
Obj_2408,55.9038987200211,-49.7979200169938,0.73
Obj_437,51.253037808708,-27.5705403929017,0.73
Obj_317,59.8216156625692,-47.2708083858333,0.73
Obj_1920,63.7948507265442,-49.0035587217795,0.73
Obj_2291,66.6457777415418,-46.6264759331167,0.73
Obj_2217,271.923626230298,68.4109304763642,0.73
Obj_3012,57.4788515775378,-49.2662769011809,0.73
Obj_2868,64.2161930961062,-48.1554440677163,0.73
Obj_2802,51.4945457590351,-27.9835211985953,0.73
Obj_1125,53.9299452906347,-27.3641269244734,0.73
Obj_1816,56.9113438522645,-49.2949462279166,0.73
Obj_1215,268.281016926682,68.083806260198,0.73
Obj_1071,52.5134313509568,-27.7929717204847,0.73
Obj_1590,268.423649004514,67.3338836730265,0.73
Obj_1156,267.668304382812,64.2301883661406,0.73
Obj_1721,52.8046815180996,-29.9793260154324,0.73
