Obj_name,right_ascension,declination,max_prob
Obj_343,52.9475593070555,-29.7975353906962,0.99
Obj_882,60.829634523085,-46.6222906471767,0.99
Obj_1047,56.1800124895707,-49.0308574057719,0.99
Obj_1626,52.9001496230164,-27.7247847773228,0.99
Obj_2084,60.5867009609247,-48.5022897490127,0.99
Obj_1380,61.3003411529207,-47.4181705106002,0.98
Obj_27,267.088391776899,65.9399089848318,0.98
Obj_1384,269.299492430537,67.3962565887218,0.98
Obj_173,265.287226680678,64.6488267134717,0.98
Obj_2679,274.30184505166,68.4593695873873,0.98
Obj_1410,59.4170677021215,-50.0974450179254,0.98
Obj_978,51.2022193508469,-27.2213067180925,0.98
Obj_1709,55.0043987888049,-28.1535035537035,0.98
Obj_1690,62.8154820278847,-46.9379250309126,0.98
Obj_1689,65.3187348557607,-47.9577165191676,0.98
Obj_1267,62.7582051284767,-46.8134389531566,0.98
Obj_132,266.895601221267,67.9262692209277,0.98
Obj_140,65.8979142341439,-48.7958644586936,0.98
Obj_123,53.9302158022913,-28.252462207329,0.98
Obj_2448,275.639883526471,65.0289210420825,0.98
Obj_1316,63.9731298861321,-46.5585330601853,0.98
Obj_1297,60.0002381636464,-49.0433549341005,0.98
Obj_141,57.1905520511719,-47.797300451595,0.98
Obj_1004,265.110908696978,65.8147947587804,0.98
Obj_1606,60.2976032379242,-47.4200795879995,0.98
Obj_1603,262.859255244598,65.4753713231941,0.98
Obj_857,62.9703781969996,-46.2453988360576,0.98
Obj_940,62.7884696198728,-48.6531150451695,0.98
Obj_936,61.274168931543,-47.7440533121997,0.98
Obj_1219,265.395747046767,65.9811904431034,0.98
Obj_896,270.359596604339,68.3062114644552,0.98
Obj_2335,273.255369660969,65.8251124637426,0.98
Obj_1744,65.650429429047,-48.548150075122,0.98
Obj_886,52.2802962042466,-26.2381144741421,0.98
Obj_877,55.3284913382478,-49.114483923591,0.98
Obj_298,59.7598784953176,-46.5517368217209,0.98
Obj_348,54.5488777154033,-29.1392340310894,0.98
Obj_1489,275.259430841635,66.762772135452,0.98
Obj_379,59.4901271617383,-47.3420409319537,0.98
