Obj_name,PGC,EGIPS,RAJ2000,DEJ2000,Coord,max_prob
Obj_3569,2606085,EGIPS J055854.0+604357,89.7250763,60.7325509,J055854.02+604357.2,0.78
Obj_3727,90756,EGIPS J063455.6+594633,98.7318294,59.7758956,J063455.64+594633.2,0.78
Obj_4116,20603,EGIPS J071753.3+244522,109.4721225,24.7562048,J071753.31+244522.3,0.78
Obj_4864,2663950,EGIPS J082029.0+640327,125.1210849,64.0575734,J082029.06+640327.3,0.78
Obj_1638,1198267,EGIPS J020615.0+013257,31.5628849,1.5492168,J020615.09+013257.2,0.78
Obj_10368,1186346,EGIPS J142159.3+010935,215.4972464,1.159869,J142159.34+010935.5,0.78
Obj_15616,70084,EGIPS J225650.8-085803,344.2117775,-8.9676061,J225650.83-085803.4,0.78
Obj_15013,       ,EGIPS J220817.6+395624,332.0734409,39.9401902,J220817.63+395624.7,0.78
Obj_8944,43443,EGIPS J125022.7-141919,192.594645,-14.3219472,J125022.71-141919.0,0.78
Obj_1730,90597,EGIPS J021344.5+362501,33.4354382,36.4170396,J021344.51+362501.3,0.78
Obj_2200,1348411,EGIPS J025040.3+083100,42.6683006,8.5168566,J025040.39+083100.7,0.78
Obj_3786,772629,EGIPS J064406.4-260035,101.0267264,-26.0098877,J064406.41-260035.6,0.78
Obj_4033,213375,EGIPS J071126.3+301115,107.8599409,30.1875798,J071126.39+301115.3,0.78
Obj_10928,1257989,EGIPS J150006.1+034519,225.0254641,3.7554667,J150006.11+034519.7,0.78
Obj_13592,2038089,EGIPS J185233.7+334446,283.1406631,33.7463298,J185233.76+334446.8,0.78
Obj_14464,1550139,EGIPS J210816.1+180555,317.0671775,18.0987642,J210816.12+180555.6,0.78
Obj_15839,70793,EGIPS J231442.3+311903,348.6764715,31.3177192,J231442.35+311903.8,0.78
Obj_6519,30430,EGIPS J102321.9+095614,155.841514,9.9374871,J102321.96+095615.0,0.78
Obj_1630,7960,EGIPS J020514.7+300019,31.3115042,30.0053317,J020514.76+300019.2,0.78
Obj_3391,17159,EGIPS J052116.3+762120,80.3180806,76.3556225,J052116.34+762120.2,0.78
Obj_15293,870439,EGIPS J223046.9-181537,337.6956752,-18.2604502,J223046.96-181537.6,0.78
Obj_10416,1058078,EGIPS J142530.9-042650,216.3789064,-4.4473132,J142530.94-042650.3,0.78
Obj_8391,39308,EGIPS J121622.5+131826,184.0941624,13.3072534,J121622.60+131826.1,0.78
Obj_15996,1000103,EGIPS J232632.0-084300,351.6335719,-8.716704,J232632.06-084300.1,0.78
Obj_7532,1124818,EGIPS J112313.3-011055,170.8055705,-1.1822002,J112313.34-011055.9,0.78
Obj_6676,91029,EGIPS J103346.6+144935,158.4444139,14.8265971,J103346.66+144935.7,0.78
Obj_6331,90993,EGIPS J101009.2+273433,152.5386927,27.5759863,J101009.29+273433.6,0.78
Obj_5616,3740830,EGIPS J091953.3+285842,139.9724633,28.9785504,J091953.39+285842.8,0.78
Obj_15015,167672,EGIPS J220821.7+463427,332.0904949,46.574367,J220821.72+463427.7,0.78
Obj_7871,1696613,EGIPS J114334.8+235639,175.8951923,23.9442702,J114334.85+235639.4,0.78
Obj_9150,2431356,EGIPS J130151.3+530450,195.4638181,53.0806208,J130151.32+530450.2,0.78
Obj_8460,1925843,EGIPS J122059.9+305805,185.2497458,30.9683173,J122059.94+305805.9,0.78
Obj_11572,       ,EGIPS J155053.1+234356,237.7216549,23.7324234,J155053.20+234356.7,0.78
Obj_13046,4667301,EGIPS J174304.7-132659,265.7696095,-13.4499913,J174304.71-132700.0,0.78
Obj_7758,35927,EGIPS J113648.7-125847,174.2031647,-12.9798022,J113648.76-125847.3,0.77
Obj_8831,3794775,EGIPS J124319.9+340257,190.8330933,34.0492388,J124319.94+340257.3,0.77
Obj_14010,       ,EGIPS J200640.6+051643,301.6691698,5.2787204,J200640.60+051643.4,0.77
Obj_14363,796489,EGIPS J205732.7-235015,314.3865023,-23.8376028,J205732.76-235015.4,0.77
Obj_15190,965550,EGIPS J222159.1-112723,335.4965256,-11.4564123,J222159.17-112723.1,0.77
Obj_10455,1108844,EGIPS J142804.6-014954,217.0192984,-1.8316743,J142804.63-014954.0,0.77
Obj_9421,92395,EGIPS J131839.7-241516,199.665795,-24.2544603,J131839.79-241516.1,0.77
Obj_6824,4094378,EGIPS J104359.8+374923,160.9992989,37.8231206,J104359.83+374923.2,0.77
Obj_14452,91695,EGIPS J210723.7+175200,316.848965,17.8669077,J210723.75+175200.9,0.77
Obj_262,1261767,EGIPS J002047.2+035912,5.1970587,3.986677,J002047.29+035912.0,0.77
Obj_10513,2152979,EGIPS J143137.5+393715,217.9065907,39.6210874,J143137.58+393715.9,0.77
Obj_3400,773326,EGIPS J052254.6-255644,80.7276548,-25.9457572,J052254.64-255644.7,0.77
Obj_5603,4010067,EGIPS J091907.6+094935,139.7817883,9.8266587,J091907.63+094936.0,0.77
Obj_10781,52920,EGIPS J144911.5+382449,222.298149,38.4136792,J144911.56+382449.2,0.77
Obj_15993,93033,EGIPS J232617.0+291513,351.5710252,29.253811,J232617.05+291513.7,0.77
Obj_1970,1644009,EGIPS J023243.9+210922,38.1829331,21.1561144,J023243.90+210922.0,0.77
Obj_315,1155846,EGIPS J002355.0+000304,5.9794041,0.0511316,J002355.06+000304.1,0.77
Obj_7457,2067191,EGIPS J111932.9+353635,169.8872275,35.6097995,J111932.93+353635.3,0.77
Obj_3084,15693,EGIPS J043819.0+721653,69.5795228,72.2814465,J043819.09+721653.2,0.77
Obj_7102,3764213,EGIPS J110020.4-151853,165.0853861,-15.3147396,J110020.49-151853.1,0.77
Obj_1485,1146750,EGIPS J015309.0-001804,28.2877291,-0.3013628,J015309.05-001804.9,0.77
Obj_299,1469,EGIPS J002256.9-155926,5.7372006,-15.9907692,J002256.93-155926.8,0.77
Obj_1973,864606,EGIPS J023251.4-184257,38.2143707,-18.716081,J023251.45-184257.9,0.77
Obj_13108,1771586,EGIPS J174904.5+261902,267.2687711,26.317385,J174904.51+261902.6,0.77
Obj_10565,52113,EGIPS J143446.6+032030,218.6943505,3.3417612,J143446.64+032030.3,0.77
Obj_3697,       ,EGIPS J062800.0+211920,97.0000349,21.3224553,J062800.01+211920.8,0.77
Obj_4453,2356646,EGIPS J075159.0+495338,117.9959579,49.8940307,J075159.03+495338.5,0.77
Obj_6202,29058,EGIPS J100206.9+174921,150.5288048,17.8226619,J100206.91+174921.6,0.77
Obj_6327,90990,EGIPS J100958.6+715220,152.4943729,71.8722973,J100958.65+715220.3,0.77
Obj_2737,13744,EGIPS J034455.9+055417,56.2332257,5.9049005,J034455.97+055417.6,0.77
Obj_1432,90563,EGIPS J014837.2+505313,27.1553856,50.8869762,J014837.29+505313.1,0.77
Obj_10931,3360050,EGIPS J150024.4+033007,225.1017485,3.5021887,J150024.42+033007.9,0.77
Obj_3067,15595,EGIPS J043539.2-250758,68.913591,-25.1329745,J043539.26-250758.7,0.77
Obj_954,1068719,EGIPS J010918.7-033808,17.3279742,-3.6358308,J010918.71-033809.0,0.77
Obj_16371,91835,EGIPS J235453.8+344056,358.7242065,34.6822664,J235453.81+344056.2,0.77
Obj_3577,90747,EGIPS J060042.0+460654,90.1753591,46.1151396,J060042.09+460654.5,0.77
Obj_13700,2165717,EGIPS J191445.9+402559,288.6916627,40.4331155,J191446.00+402559.2,0.77
Obj_8106,2239618,EGIPS J115823.3+441350,179.5971783,44.2306407,J115823.32+441350.3,0.77
Obj_16176,854162,EGIPS J234117.8-193059,355.3241758,-19.5165278,J234117.80-193059.5,0.77
Obj_8098,37641,EGIPS J115756.8+221125,179.4868908,22.1904563,J115756.85+221125.6,0.77
Obj_7815,3139686,EGIPS J114028.6+650004,175.1195648,65.0013081,J114028.70+650004.7,0.77
Obj_1265,2163450,EGIPS J013255.2+401642,23.2301668,40.2785698,J013255.24+401642.9,0.77
Obj_6160,938767,EGIPS J095932.3-132243,149.8847735,-13.378804,J095932.35-132243.7,0.77
Obj_13918,2393712,EGIPS J195000.8+512453,297.503628,51.4148919,J195000.87+512453.6,0.77
Obj_4985,996254,EGIPS J082947.5-090112,127.4483309,-9.0200205,J082947.60-090112.1,0.77
Obj_11341,1283515,EGIPS J153247.7+052634,233.1987942,5.4428786,J153247.71+052634.4,0.77
Obj_8087,1357394,EGIPS J115658.9+085854,179.2455784,8.9818386,J115658.94+085854.6,0.77
Obj_10140,91335,EGIPS J140621.3-054312,211.5889536,-5.7200529,J140621.35-054312.2,0.77
Obj_12345,2732282,EGIPS J164027.9+694659,250.1165876,69.7833107,J164027.98+694659.9,0.77
Obj_3884,       ,EGIPS J065648.5+165423,104.202356,16.9065521,J065648.57+165423.6,0.77
Obj_11023,1729562,EGIPS J150635.5+251350,226.6483081,25.2306746,J150635.59+251350.4,0.76
Obj_13452,2122801,EGIPS J182843.9+381657,277.1832152,38.2826338,J182843.97+381657.5,0.76
Obj_5090,24231,EGIPS J083725.3+780131,129.3557118,78.0255507,J083725.37+780132.0,0.76
Obj_4477,22081,EGIPS J075313.9+581534,118.3082154,58.2596349,J075313.97+581534.7,0.76
Obj_4741,3727730,EGIPS J081231.8+441803,123.1329131,44.3009012,J081231.90+441803.2,0.76
Obj_5635,2125082,EGIPS J092059.0+382210,140.2460531,38.3696533,J092059.05+382210.8,0.76
Obj_11211,1070948,EGIPS J152239.9-032747,230.666582,-3.4631564,J152239.98-032747.4,0.76
Obj_1474,5061377,EGIPS J015139.5+434033,27.9145909,43.6759047,J015139.50+434033.3,0.76
Obj_8958,3479980,EGIPS J125119.6+043250,192.8318809,4.5474109,J125119.65+043250.7,0.76
Obj_7620,35402,EGIPS J112928.3+521332,172.3681002,52.2257828,J112928.34+521332.8,0.76
Obj_1283,1446565,EGIPS J013505.7+140011,23.7741152,14.0030972,J013505.79+140011.1,0.76
Obj_8612,856448,EGIPS J122900.9-192100,187.2537811,-19.3502426,J122900.91-192100.9,0.76
Obj_9028,43951,EGIPS J125443.4+584635,193.681039,58.7765351,J125443.45+584635.5,0.76
Obj_16264,5059608,EGIPS J234822.5+303155,357.0938023,30.5319808,J234822.51+303155.1,0.76
Obj_14389,       ,EGIPS J210029.9+282122,315.1246577,28.3562205,J210029.92+282122.4,0.76
Obj_5712,1474814,EGIPS J092523.8+150502,141.349517,15.0840804,J092523.88+150502.7,0.76
Obj_743,1027042,EGIPS J005509.9-065443,13.7912772,-6.9120584,J005509.91-065443.4,0.76
Obj_10714,52665,EGIPS J144455.8+015708,221.2329106,1.9523706,J144455.90+015708.5,0.76
Obj_7595,3771235,EGIPS J112728.8-185711,171.8703274,-18.9531965,J112728.88-185711.5,0.76
Obj_14825,1070721,EGIPS J215146.9-032853,327.9456568,-3.4815191,J215146.96-032853.5,0.76
Obj_1394,       ,EGIPS J014547.2-150959,26.4469155,-15.1666103,J014547.26-150959.8,0.76
Obj_13383,       ,EGIPS J181731.0+300307,274.3795553,30.0522173,J181731.09+300308.0,0.76
Obj_13937,63776,EGIPS J195256.0-250859,298.2336283,-25.1499774,J195256.07-250859.9,0.76
Obj_3990,20184,EGIPS J070723.8+711133,106.8492289,71.1926352,J070723.81+711133.5,0.76
Obj_6825,1700948,EGIPS J104406.3+240919,161.0266301,24.1554815,J104406.39+240919.7,0.76
Obj_2214,10846,EGIPS J025140.0-180412,42.9169158,-18.070249,J025140.06-180412.9,0.76
Obj_16405,73036,EGIPS J235731.9-220003,359.3832433,-22.0008883,J235731.98-220003.2,0.76
Obj_15570,912514,EGIPS J225312.3-152028,343.3016199,-15.3412296,J225312.39-152028.4,0.76
Obj_6467,2662974,EGIPS J101945.7+635758,154.9408254,63.9662196,J101945.80+635758.4,0.76
Obj_2616,2343573,EGIPS J033001.3+492730,52.505491,49.4583922,J033001.32+492730.2,0.76
Obj_13659,4667395,EGIPS J190656.2+411521,286.7344512,41.2560138,J190656.27+411521.6,0.76
Obj_5214,24685,EGIPS J084716.9-200210,131.8204491,-20.0361482,J084716.91-200210.1,0.76
Obj_7113,33188,EGIPS J110039.6+611917,165.1650326,61.3214297,J110039.61+611917.1,0.76
Obj_10824,758034,EGIPS J145242.1-271343,223.1756104,-27.2287656,J145242.15-271343.6,0.76
Obj_5618,1312883,EGIPS J092001.7+070322,140.0071295,7.0562716,J092001.71+070322.6,0.76
Obj_6053,2077672,EGIPS J095208.1+361550,148.0339179,36.2640554,J095208.14+361550.6,0.76
Obj_4436,78632,EGIPS J075037.8-035644,117.6578171,-3.945634,J075037.88-035644.3,0.76
Obj_4714,90827,EGIPS J081044.6+384450,122.685908,38.7474139,J081044.62+384450.7,0.76
Obj_4173,20903,EGIPS J072338.4-300303,110.9100399,-30.0509887,J072338.41-300303.6,0.76
Obj_468,91883,EGIPS J003633.9-202420,9.1412802,-20.4056255,J003633.91-202420.3,0.76
Obj_1126,5000,EGIPS J012232.6-295856,20.6362493,-29.9823866,J012232.70-295856.6,0.76
Obj_12880,3883597,EGIPS J172522.1+220004,261.3421762,22.0011395,J172522.12+220004.1,0.76
Obj_13879,       ,EGIPS J194449.7+575220,296.2072963,57.8723365,J194449.75+575220.4,0.76
Obj_7268,1056801,EGIPS J111003.5-043228,167.5147262,-4.5412745,J111003.53-043228.6,0.76
Obj_13096,91610,EGIPS J174811.5+530908,267.0482189,53.1522334,J174811.57+530908.0,0.76
Obj_15053,       ,EGIPS J221115.3+425905,332.8137949,42.9849288,J221115.31+425905.7,0.76
Obj_5458,90896,EGIPS J090822.7+514019,137.0946132,51.6721878,J090822.71+514019.9,0.76
Obj_9795,214144,EGIPS J134422.3+555704,206.0931517,55.9513515,J134422.36+555704.9,0.75
Obj_13532,1664759,EGIPS J184123.3+220954,280.3470868,22.1651113,J184123.30+220954.4,0.75
Obj_8018,37259,EGIPS J115315.3+113803,178.3137989,11.634219,J115315.31+113803.2,0.75
Obj_13255,4666379,EGIPS J180214.6+201400,270.560849,20.2333554,J180214.60+201400.1,0.75
Obj_3903,4666938,EGIPS J065919.0+212647,104.8292418,21.4464871,J065919.02+212647.4,0.75
Obj_15202,3961422,EGIPS J222238.7-034151,335.6613389,-3.6976342,J222238.72-034151.5,0.75
Obj_4913,1150559,EGIPS J082414.9-000915,126.0624585,-0.1544166,J082414.99-000915.9,0.75
Obj_2766,13868,EGIPS J034805.2-174528,57.0218202,-17.7579654,J034805.24-174528.7,0.75
Obj_13303,91621,EGIPS J180805.9+163444,272.0247154,16.5789835,J180805.93+163444.3,0.75
Obj_11061,1817600,EGIPS J150954.0+274624,227.4753595,27.7733461,J150954.09+274624.0,0.75
Obj_941,4063,EGIPS J010836.9+013828,17.154067,1.641369,J010836.98+013828.9,0.75
Obj_3628,4666852,EGIPS J061236.3+452801,93.1515679,45.4669489,J061236.38+452801.0,0.75
